request#,latency_ms,success
1139,4.47,yes
1140,4.62,yes
1141,4.47,yes
1142,2.99,yes
1143,4.37,yes
1144,4.08,yes
1145,4.53,yes
1146,4.57,yes
1147,4.71,yes
1148,4.47,yes
1149,4.55,yes
1150,4.46,yes
1151,4.84,yes
1152,4.57,yes
1153,4.52,yes
1154,4.74,yes
1155,4.54,yes
1156,4.49,yes
1157,4.47,yes
1158,4.48,yes
1159,4.57,yes
1160,4.65,yes
1161,5.16,yes
1162,4.61,yes
1163,4.46,yes
1164,4.78,yes
1165,4.50,yes
1166,4.68,yes
1167,4.40,yes
1168,4.46,yes
1169,4.52,yes
1170,4.46,yes
1171,4.54,yes
1172,4.57,yes
1173,4.47,yes
1174,4.48,yes
1175,4.57,yes
1176,4.67,yes
1177,4.54,yes
1178,4.48,yes
1179,4.49,yes
1180,4.49,yes
1181,4.59,yes
1182,4.56,yes
1183,4.60,yes
1184,4.59,yes
1185,4.40,yes
1186,5.11,yes
1187,4.34,yes
1188,4.57,yes
1189,4.45,yes
1190,4.44,yes
1191,4.62,yes
1192,4.45,yes
1193,4.47,yes
1194,4.47,yes
1195,4.41,yes
1196,4.54,yes
1197,5.31,yes
1198,4.81,yes
1199,4.54,yes
1200,4.31,yes
1201,4.52,yes
1202,4.51,yes
1203,4.57,yes
1204,4.96,yes
1205,4.42,yes
1206,4.50,yes
1207,4.51,yes
1208,4.48,yes
1209,4.52,yes
1210,4.59,yes
1211,4.43,yes
1212,4.47,yes
1213,4.39,yes
1214,4.40,yes
1215,4.45,yes
1216,4.63,yes
1217,4.59,yes
1218,4.50,yes
1219,4.90,yes
1220,4.89,yes
1221,4.39,yes
1222,4.50,yes
1223,4.51,yes
1224,4.76,yes
1225,4.87,yes
1226,4.58,yes
1227,5.26,yes
1228,4.54,yes
1229,4.47,yes
1230,4.62,yes
1231,4.52,yes
1232,4.51,yes
1233,4.49,yes
1234,4.49,yes
1235,4.52,yes
1236,5.21,yes
1237,4.75,yes
1238,4.57,yes
1239,4.49,yes
1240,4.61,yes
1241,4.60,yes
1242,4.49,yes
1243,4.48,yes
1244,4.71,yes
1245,4.56,yes
1246,4.56,yes
1247,4.45,yes
1248,4.40,yes
1249,4.51,yes
1250,4.50,yes
1251,4.50,yes
1252,4.51,yes
1253,4.54,yes
1254,4.44,yes
1255,4.82,yes
1256,4.53,yes
1257,4.62,yes
1258,4.80,yes
1259,4.56,yes
1260,4.46,yes
1261,4.51,yes
1262,4.52,yes
1263,4.45,yes
1264,4.82,yes
1265,5.26,yes
1266,4.50,yes
1267,5.35,yes
1268,4.54,yes
1269,5.43,yes
1270,4.59,yes
1271,4.50,yes
1272,4.68,yes
1273,4.03,yes
1274,4.62,yes
1275,4.51,yes
1276,4.54,yes
1277,4.44,yes
1278,4.82,yes
1279,4.67,yes
1280,4.85,yes
1281,4.95,yes
1282,4.86,yes
1283,4.42,yes
1284,4.57,yes
1285,4.83,yes
1286,4.44,yes
1287,4.43,yes
1288,4.48,yes
1289,4.41,yes
1290,4.58,yes
1291,4.54,yes
1292,4.41,yes
1293,4.48,yes
1294,4.89,yes
1295,4.66,yes
1296,4.50,yes
1297,4.53,yes
1298,4.45,yes
1299,4.55,yes
1300,4.48,yes
1301,4.37,yes
1302,4.59,yes
1303,4.74,yes
1304,4.38,yes
1305,4.51,yes
1306,4.76,yes
1307,4.56,yes
1308,4.90,yes
1309,4.50,yes
1310,4.57,yes
1311,4.55,yes
1312,4.60,yes
1313,5.13,yes
1314,4.56,yes
1315,4.57,yes
1316,4.75,yes
1317,4.90,yes
1318,4.59,yes
1319,4.61,yes
1320,4.60,yes
1321,4.63,yes
1322,4.62,yes
1323,4.57,yes
1324,4.55,yes
1325,4.74,yes
1326,4.78,yes
1327,4.44,yes
1328,4.52,yes
1329,5.34,yes
1330,4.69,yes
1331,4.42,yes
1332,4.60,yes
1333,4.50,yes
1334,4.81,yes
1335,4.47,yes
1336,4.56,yes
1337,4.38,yes
1338,4.53,yes
1339,4.70,yes
1340,4.53,yes
1341,4.63,yes
1342,4.59,yes
1343,4.57,yes
1344,4.51,yes
1345,4.46,yes
1346,5.06,yes
1347,4.67,yes
1348,4.55,yes
1349,4.55,yes
1350,5.28,yes
1351,4.47,yes
1352,4.50,yes
1353,4.71,yes
1354,4.50,yes
1355,4.50,yes
1356,5.09,yes
1357,4.48,yes
1358,4.52,yes
1359,4.46,yes
1360,4.52,yes
1361,4.44,yes
1362,4.15,yes
1363,4.47,yes
1364,4.52,yes
1365,4.63,yes
1366,4.43,yes
1367,4.53,yes
1368,4.45,yes
1369,4.86,yes
1370,4.67,yes
1371,4.46,yes
1372,4.48,yes
1373,4.41,yes
1374,4.63,yes
1375,4.52,yes
1376,4.41,yes
1377,4.07,yes
1378,5.18,yes
1379,4.63,yes
1380,4.53,yes
1381,4.48,yes
1382,4.50,yes
1383,5.21,yes
1384,4.53,yes
1385,4.49,yes
1386,4.50,yes
