index,latency_ms
1460,4.440000
1461,4.400000
1462,4.360000
1463,4.560000
1464,4.600000
1465,4.590000
1466,4.580000
1467,4.520000
1468,4.520000
1469,4.480000
1470,4.760000
1471,4.500000
1472,4.660000
1473,4.590000
1474,4.760000
1475,5.220000
1476,4.480000
1477,5.280000
1478,4.580000
1479,4.790000
1480,4.490000
1481,4.500000
1482,4.470000
1483,4.640000
1484,5.050000
1485,4.450000
1486,4.480000
1487,4.550000
1488,4.530000
1489,4.480000
1490,4.500000
1491,4.750000
1492,4.380000
1493,4.710000
1494,4.580000
1495,4.610000
1496,4.570000
1497,4.580000
1498,4.540000
1499,4.510000
1500,4.620000
1501,4.720000
1502,4.560000
1503,4.490000
1504,4.480000
1505,4.490000
1506,4.790000
1507,4.500000
1508,4.380000
1509,4.460000
1510,4.480000
1511,4.760000
1512,4.430000
1513,4.650000
1514,4.820000
1515,4.420000
1516,5.140000
1517,4.400000
1518,5.270000
1519,4.900000
1520,4.440000
1521,4.610000
1522,4.390000
1523,5.120000
1524,4.460000
1525,4.420000
1526,4.730000
1527,4.520000
1528,4.790000
1529,4.450000
1530,4.450000
1531,4.450000
1532,4.830000
1533,4.670000
1534,5.410000
1535,4.470000
1536,4.380000
1537,4.430000
1538,4.440000
1539,4.510000
1540,5.170000
1541,4.510000
1542,4.770000
1543,3.370000
1544,4.470000
1545,4.490000
1546,4.520000
1547,4.410000
1548,4.470000
1549,4.860000
1550,4.350000
1551,4.400000
1552,4.400000
1553,4.480000
1554,4.730000
1555,4.630000
1556,4.480000
1557,4.470000
1558,4.850000
1559,4.570000
1560,4.470000
1561,4.510000
1562,4.460000
1563,4.480000
1564,4.750000
1565,4.600000
1566,4.840000
1567,4.570000
1568,4.560000
1569,4.700000
1570,4.460000
1571,4.700000
1572,3.770000
1573,4.500000
1574,4.520000
1575,4.470000
1576,4.380000
1577,4.810000
1578,4.500000
1579,4.610000
1580,4.450000
1581,4.410000
1582,3.520000
1583,4.360000
1584,5.150000
1585,5.300000
1586,4.420000
1587,4.600000
1588,4.400000
1589,4.490000
1590,4.430000
1591,4.690000
1592,4.470000
1593,4.450000
1594,4.470000
1595,4.580000
1596,4.710000
1597,4.440000
1598,5.120000
1599,4.530000
1600,4.440000
1601,4.440000
1602,4.380000
1603,4.740000
1604,4.660000
1605,4.680000
1606,4.590000
1607,4.570000
1608,5.240000
1609,5.410000
1610,4.560000
1611,4.390000
1612,4.580000
1613,4.820000
1614,4.440000
1615,5.800000
1616,4.470000
1617,4.520000
1618,4.500000
1619,5.670000
1620,4.450000
1621,4.610000
1622,4.560000
1623,5.300000
1624,4.490000
1625,4.800000
1626,4.500000
1627,4.490000
1628,4.880000
1629,4.480000
1630,4.440000
1631,4.810000
1632,5.210000
1633,4.560000
1634,4.720000
1635,4.660000
1636,4.620000
1637,4.460000
1638,4.480000
1639,4.840000
1640,4.520000
1641,4.580000
1642,4.560000
1643,4.590000
1644,4.970000
1645,4.530000
1646,4.530000
1647,4.840000
1648,4.520000
1649,4.510000
1650,4.670000
1651,4.560000
1652,4.550000
1653,4.460000
1654,4.500000
1655,4.550000
1656,4.440000
1657,4.740000
1658,4.560000
1659,4.480000
1660,4.360000
1661,4.450000
1662,4.520000
1663,4.510000
1664,4.580000
